ID_Empleado,Género,Edad,Cargo,Departamento,Años_Experiencia,Horas_Trabajadas_Semana,Numero_Tareas,Nivel_Estrés,Satisfaccion_Laboral,Evaluacion_Desempeño,Salario_Anual,Bonos,Promociones_Ultimos_5_años,Horas_Formacion_Anual,Cursos_Realizados,Certificaciones,Absentismo_Laboral,Accidentes_Laborales,Rotación_Personal,Rendimiento
1,Masculino,30,Administrador,Recursos Humanos,12,30,13,3,5,3.4761449182345685,93090,4749,0,59,6,2,13,1,Sí,3.980769230769231
2,Femenino,29,Agente de Tráfico,Mantenimiento,11,44,10,7,4,3.4664567712025387,57487,5045,1,50,3,0,3,1,No,2.7884615384615383
3,Masculino,38,Administrador,Tecnología,20,30,10,4,10,4.399351028112885,55906,847,2,75,9,1,2,2,Sí,4.73076923076923
4,Masculino,38,Mecánico,Finanzas,16,30,7,6,5,4.6418741549878115,146581,9687,0,48,6,4,9,2,No,3.269230769230769
5,Masculino,54,Analista de Datos,Finanzas,21,30,10,9,10,1.7209666576867493,40535,934,0,14,8,0,3,1,No,2.9615384615384612
6,Femenino,53,Analista de Datos,Operaciones,18,30,3,6,8,2.256200896869022,122500,1395,0,72,5,4,8,0,No,4.096153846153846
7,Masculino,29,Contador,Recursos Humanos,9,30,8,4,5,3.6012228038701655,128896,6574,3,27,1,1,0,1,No,2.230769230769231
8,Masculino,40,Agente de Tráfico,Operaciones,10,44,5,10,9,3.22888493483849,111088,538,1,24,5,0,8,1,Sí,2.365384615384615
9,Masculino,59,Mecánico,Tecnología,1,30,2,2,1,3.6093046779978373,80539,8262,1,79,2,1,12,0,Sí,2.673076923076923
10,Femenino,24,Mecánico,Servicio al Cliente,6,30,2,9,7,2.732058397308754,99531,8447,1,35,6,3,10,1,Sí,3.5576923076923075
11,Masculino,26,Supervisor,Servicio al Cliente,8,30,4,4,5,2.649756054864198,53477,901,2,3,2,0,9,1,No,2.5576923076923075
12,Masculino,34,Piloto,Servicio al Cliente,16,30,7,4,4,1.4706156210389372,60977,8861,1,20,7,0,8,1,No,3.2115384615384612
13,Masculino,52,Mecánico,Finanzas,22,44,14,2,3,3.494592960418123,133376,1883,2,64,4,4,0,0,No,3.7692307692307687
14,Masculino,37,Ingeniero,Recursos Humanos,19,44,10,5,10,1.7031426102598433,121646,8331,3,68,2,0,12,0,No,4.115384615384615
15,Femenino,53,Mecánico,Operaciones,24,44,4,6,7,3.684086382551888,125462,2702,1,9,0,3,8,1,Sí,2.6346153846153846
16,Masculino,43,Supervisor,Operaciones,16,30,9,10,2,4.868288972919924,107837,9638,2,49,4,4,5,2,No,2.519230769230769
17,Femenino,50,Administrador,Tecnología,14,44,2,6,5,2.025651309905182,149821,4159,3,9,9,4,7,1,Sí,2.615384615384615
18,Femenino,43,Asistente de Vuelo,Servicio al Cliente,3,44,6,3,2,1.568609221398419,118619,9486,3,15,9,2,12,0,No,2.038461538461538
19,Femenino,62,Asistente de Vuelo,Recursos Humanos,21,44,4,9,7,1.0967009811237345,43295,9059,2,37,2,0,7,0,Sí,2.7115384615384612
20,Masculino,24,Ingeniero,Recursos Humanos,6,30,6,7,6,2.5153087453813563,93697,1416,3,66,3,2,13,0,No,3.3269230769230766
21,Femenino,31,Ingeniero,Tecnología,13,30,10,3,10,1.858444235427573,72023,4963,3,19,9,3,7,2,Sí,3.8076923076923075
22,Masculino,62,Contador,Mantenimiento,16,44,9,4,7,2.967437692575744,131409,4873,1,68,3,0,10,2,Sí,3.5576923076923075
23,Femenino,42,Asistente de Vuelo,Recursos Humanos,13,44,10,7,9,3.097224111971002,118810,5121,2,69,2,2,7,2,No,3.5576923076923075
24,Femenino,37,Administrador,Recursos Humanos,13,30,12,8,2,2.3973109775084067,140400,2582,3,24,5,2,11,1,No,1.9807692307692304
25,Femenino,33,Asistente de Vuelo,Operaciones,15,30,9,6,9,3.9996248891125705,74265,358,0,53,5,4,0,0,No,3.7692307692307687
26,Femenino,23,Piloto,Tecnología,5,30,9,4,7,4.619226682848863,68673,1500,0,11,0,2,0,1,No,2.096153846153846
27,Femenino,62,Asistente de Vuelo,Recursos Humanos,33,30,9,2,2,1.8460923911730962,81055,8119,3,64,3,2,6,1,Sí,3.8653846153846154
28,Femenino,45,Analista de Datos,Recursos Humanos,25,44,3,10,10,4.345191093624505,33361,1938,1,53,0,0,10,2,Sí,3.3269230769230766
29,Femenino,56,Contador,Operaciones,29,44,12,8,2,1.5247515990215126,88198,814,0,66,6,0,11,1,Sí,3.307692307692308
